taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3175038	Myrcia lingua (O.Berg) Mattos	3174923	Myrcia guianensis (Aubl.) DC.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Myrcia	3173889	Myrcia guianensis	3174923	NE
4093169	Jacaranda rufa Silva Manso	4093169	Jacaranda rufa Silva Manso	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Bignoniaceae	6655	Jacaranda	3172498	Jacaranda rufa	4093169	LC
3110435	Vernonanthura H.Rob.	3110435	Vernonanthura H.Rob.	2	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Vernonanthura	3110435			NE
5668574	Fridericia speciosa Mart.	5668574	Fridericia speciosa Mart.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Bignoniaceae	6655	Fridericia	3233562	Fridericia speciosa	5668574	NE
2969929	Mimosa dolens Vell.	2969929	Mimosa dolens Vell.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Mimosa	2969235	Mimosa dolens	2969929	LC
7285646	Peixotoa parviflora A.Juss.	7285646	Peixotoa parviflora A.Juss.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Malpighiaceae	6676	Peixotoa	7285633	Peixotoa parviflora	7285646	NE
3152072	Triumfetta semitriloba Jacq.	3152072	Triumfetta semitriloba Jacq.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Triumfetta	3152064	Triumfetta semitriloba	3152072	LC
2821007	Galeandra montana Barb.Rodr.	2821007	Galeandra montana Barb.Rodr.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Galeandra	2820970	Galeandra montana	2821007	NE
2951737	Stryphnodendron adstringens (Mart.) Coville	2951737	Stryphnodendron adstringens (Mart.) Coville	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Stryphnodendron	2951701	Stryphnodendron adstringens	2951737	NE
2764337	Commelina obliqua Vahl	2764337	Commelina obliqua Vahl	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Commelinales	553	Commelinaceae	2763195	Commelina	2763939	Commelina obliqua	2764337	NE
3038125	Schefflera vinosa (Cham. & Schltdl.) Frodin & Fiaschi	3038127	Didymopanax vinosus (Cham. & Schltdl.) Marchal	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Araliaceae	8800	Didymopanax	6419087	Didymopanax vinosus	3038127	LC
