"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","ConfiançaLoc","Imagens","Localidade"
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rubiaceae","Rudgea","triflora","Benth.","RUBIACEAE Rudgea triflora Benth.","SPSF00044169","Splink","SPSF",,"832","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Base Fumaça."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Rutaceae","Pilocarpus","pauciflorus","A.St.-Hil.","RUTACEAE Pilocarpus pauciflorus A.St.-Hil.","SPSF00044170","Splink","SPSF",,"833","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Sabiaceae","Meliosma","chartacea","Lombardi","SABIACEAE Meliosma chartacea Lombardi","SPSF00019311","Splink","SPSF",,"591","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Sabiaceae","Meliosma","itatiaiae","Urb.","SABIACEAE Meliosma itatiaiae Urb.","SPSF00044192","Splink","SPSF",,"855","Native","Latão","Ouro",,"Parque Estadual de Jurupará, Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Sapindaceae","Paullinia","carpopoda","Cambess.","SAPINDACEAE Paullinia carpopoda Cambess.","301696","Splink","SP",,"606","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Estrada do Caçador."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Sapindaceae","Paullinia","seminuda","Radlk.","SAPINDACEAE Paullinia seminuda Radlk.","301676","Splink","SP",,"623","Native","Ouro","Ouro",,"Parque Estadual de Jurupará, Caminho da Fazenda Tucano."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Solanaceae","Athenaea","fasciculata","(Vell.) I.M.C. Rodrigues & Stehmann","SOLANACEAE Athenaea fasciculata (Vell.) I.M.C. Rodrigues & Stehmann","BHCB026245","Splink","BHCB",,"803","Native","Ouro","Ouro",,"Parque Estadual do Jurupará, Estrada do mono, caminho p/ o Parque."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Solanaceae","Brunfelsia","pauciflora","(Cham. & Schltdl.) Benth.","SOLANACEAE Brunfelsia pauciflora (Cham. & Schltdl.) Benth.",,"GBIF",,,,"Native","Latão","Bronze",,
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Solanaceae","Capsicum","flexuosum","Sendtn.","SOLANACEAE Capsicum flexuosum Sendtn.","161755","GBIF","MBM","Esteves, R.","61","Native","Bronze","Ouro","https://images.cria.org.br/viewer/MBM161755","Parque Estadual do Jurupará."
"PARQUE ESTADUAL JURUPARÁ","Angiosperms","Solanaceae","Cestrum","bracteatum","Link & Otto","SOLANACEAE Cestrum bracteatum Link & Otto","SPSF00044189","Splink","SPSF",,"852","Native","Latão","Ouro",,"Parque Estadual de Jurupará."
