"UC","Grupos","Família","Gênero","Espécie","Autor","Táxon_completo","Barcode","BD_Origem","Herbário","Coletor","Número_da_Coleta","Origem_FFBr","ConfiançaID","Localidade","Já listada"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","carassana","(DC.) Cogn.","MELASTOMATACEAE Leandra carassana (DC.) Cogn.","RB00686814",,"RB","Pinheiro, F.M.","67","Native","Ouro","Parque Nacional da Serra da Bocaina. Beira da estrada.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","cordigera","(Triana) Cogn.","MELASTOMATACEAE Leandra cordigera (Triana) Cogn.","CAS0410699","SPLINK","CAS","Almeda, F.","9840","Native","Ouro","Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","coriacea","Cogn.","MELASTOMATACEAE Leandra coriacea Cogn.","UEC063044","SPLINK","UEC","Almeda, F.","9840","Native","Ouro","Road from São José do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between km 24 and km 27.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","debilis","(Naudin) Cogn.","MELASTOMATACEAE Leandra debilis (Naudin) Cogn.","UEC063035","SPLINK","UEC","Almeda, F.","9837","Native","Ouro","Road from São José do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between km 24 and km 27.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","erostrata","(DC.) Cogn.","MELASTOMATACEAE Leandra erostrata (DC.) Cogn.","RB00686792",,"RB","Pinheiro, F.M.","95","Native","Ouro","Parque Nacional da Serra da Bocaina. Trilha Tira Chapéu.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","foveolata","(DC.) Cogn.","MELASTOMATACEAE Leandra foveolata (DC.) Cogn.","RB00686781",,"RB","Pinheiro, F.M.","85","Native","Ouro","Parque Nacional da Serra da Bocaina. Trilha Tira Chapéu.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","gracilis","Cogn.","MELASTOMATACEAE Leandra gracilis Cogn.","RB00673417",,"RB","Baumgratz, J.F.A.","1171","Native","Ouro","no começo da trilha da cachoira São Isidro. Floresta Ombrófila Densa Alto-Montana, alterada, na margem da estrada, na entrada para a cachoeira São Isidro. Parque Nacional da Serra da Bocaina; Lageado;","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","itatiaiae","(Wawra) Cogn.","MELASTOMATACEAE Leandra itatiaiae (Wawra) Cogn.","NY02098948","SPLINK","NY","Almeda, F.","9838","Native","Ouro","Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","multiplinervis","(Naudin) Cogn.","MELASTOMATACEAE Leandra multiplinervis (Naudin) Cogn.","RB00686816",,"RB","Pinheiro, F.M.","69","Native","Ouro","Parque Nacional da Serra da Bocaina. Beira da estrada.","Não"
"PARQUE NACIONAL DA SERRA DA BOCAINA","Angiosperms","Melastomataceae","Leandra","neurotricha","Cogn.","MELASTOMATACEAE Leandra neurotricha Cogn.","NY02098958","SPLINK","NY","Almeda, F.","9836","Native","Ouro","Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","Não"
