"Nome.da.UC","Municípios.Abrangidos","NumRecords","NumTaxons","NumSpecies","NumGenus","NumFamilies"
"PARQUE ESTADUAL CARLOS BOTELHO","CAPÃO BONITO (SP) - SÃO MIGUEL ARCANJO (SP) - SETE BARRAS (SP)",5974,1196,1006,544,141
"PARQUE ESTADUAL CAVERNA DO DIABO","BARRA DO TURVO (SP) - CAJATI (SP) - ELDORADO (SP) - IPORANGA (SP)",265,103,95,76,44
"PARQUE ESTADUAL DA ARA","CAMPINAS (SP) - VALINHOS (SP)",2,2,2,2,2
"PARQUE ESTADUAL DA CAMPINA DO ENCANTADO","PARIQUERA-AÇU (SP)",134,42,42,22,12
"PARQUE ESTADUAL DA CANTAREIRA","CAIEIRAS (SP) - GUARULHOS (SP) - MAIRIPORÃ (SP) - SÃO PAULO (SP)",1570,512,487,282,103
"PARQUE ESTADUAL DA ILHA ANCHIETA","UBATUBA (SP)",2013,467,405,297,101
"PARQUE ESTADUAL DA ILHA DO CARDOSO","CANANÉIA (SP)",6004,1112,1035,533,151
"PARQUE ESTADUAL DA SERRA DO MAR","BERTIOGA (SP) - BIRITIBA MIRIM (SP) - CARAGUATATUBA (SP) - CUBATÃO (SP) - CUNHA (SP) - ITANHAÉM (SP) - JUQUITIBA (SP) - MOGI DAS CRUZES (SP) - MONGAGUÁ (SP) - NATIVIDADE DA SERRA (SP) - PARAIBUNA (SP) - PEDRO DE TOLEDO (SP) - PERUÍBE (SP) - PRAIA GRANDE (SP) - SALESÓPOLIS (SP) - SANTO ANDRÉ (SP) - SANTOS (SP) - SÃO BERNARDO DO CAMPO (SP) - SÃO LUIZ DO PARAITINGA (SP) - SÃO PAULO (SP) - SÃO SEBASTIÃO (SP) - SÃO VICENTE (SP) - UBATUBA (SP)",20604,3033,2806,955,191
"PARQUE ESTADUAL DAS FONTES DO IPIRANGA","SÃO PAULO (SP)",8832,1632,1492,772,170
"PARQUE ESTADUAL DAS FURNAS DO BOM JESUS","PEDREGULHO (SP)",4660,838,790,423,120
"PARQUE ESTADUAL DE CAMPOS DO JORDÃO","CAMPOS DO JORDÃO (SP)",3770,955,820,446,140
"PARQUE ESTADUAL DE ILHABELA","ILHABELA (SP)",206,68,65,50,39
"PARQUE ESTADUAL DE ITABERABA","ARUJÁ (SP) - GUARULHOS (SP) - NAZARÉ PAULISTA (SP) - SANTA ISABEL (SP)",1,1,1,1,1
"PARQUE ESTADUAL DE ITAPETINGA","ATIBAIA (SP) - BOM JESUS DOS PERDÕES (SP) - MAIRIPORÃ (SP) - NAZARÉ PAULISTA (SP)",4,4,4,4,3
"PARQUE ESTADUAL DE PORTO FERREIRA","PORTO FERREIRA (SP)",1680,377,360,233,82
"PARQUE ESTADUAL DE VASSUNUNGA","SANTA RITA DO PASSA QUATRO (SP)",1027,362,338,228,82
"PARQUE ESTADUAL DO AGUAPEÍ","CASTILHO (SP) - GUARAÇAÍ (SP) - JUNQUEIRÓPOLIS (SP) - MONTE CASTELO (SP) - NOVA INDEPENDÊNCIA (SP) - SÃO JOÃO DO PAU D'ALHO (SP)",182,126,101,93,38
"PARQUE ESTADUAL DO ITINGUÇU","IGUAPE (SP) - PERUÍBE (SP)",2,2,2,2,2
"PARQUE ESTADUAL DO JARAGUÁ","OSASCO (SP) - SÃO PAULO (SP)",977,381,367,248,84
"PARQUE ESTADUAL DO JUQUERY","CAIEIRAS (SP) - FRANCO DA ROCHA (SP)",975,360,337,212,63
"PARQUE ESTADUAL DO JURUPARÁ","IBIÚNA (SP) - PIEDADE (SP)",562,167,153,102,49
"PARQUE ESTADUAL DO MORRO DO DIABO","TEODORO SAMPAIO (SP)",4460,611,526,354,112
"PARQUE ESTADUAL DO PRELADO","IGUAPE (SP)",0,0,0,0,0
"PARQUE ESTADUAL DO RIO PEIXE","DRACENA (SP) - OURO VERDE (SP) - PIQUEROBI (SP) - PRESIDENTE VENCESLAU (SP)",0,0,0,0,0
"PARQUE ESTADUAL DO RIO TURVO","BARRA DO TURVO (SP) - CAJATI (SP) - JACUPIRANGA (SP)",86,29,29,23,15
"PARQUE ESTADUAL DOS MANANCIAIS DE CAMPOS DO JORDÃO","CAMPOS DO JORDÃO (SP)",20,15,14,12,5
"PARQUE ESTADUAL INTERVALES","RIBEIRÃO GRANDE (SP)",4325,830,766,403,128
"PARQUE ESTADUAL LAGAMAR DE CANANEIA","CANANÉIA (SP) - JACUPIRANGA (SP)",1,1,1,1,1
"PARQUE ESTADUAL MARINHO DA LAJE DE SANTOS","SANTOS (SP)",219,118,116,69,43
"PARQUE ESTADUAL NASCENTES DO PARANAPANEMA","CAPÃO BONITO (SP)",96,38,35,33,22
"PARQUE ESTADUAL RESTINGA DE BERTIOGA","BERTIOGA (SP)",1279,323,297,192,78
"PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","APIAÍ (SP) - IPORANGA (SP)",3151,538,521,245,88
"PARQUE ESTADUAL XIXOVÁ-JAPUÍ","PRAIA GRANDE (SP) - SÃO VICENTE (SP)",402,202,197,152,66
"PARQUE NACIONAL DA SERRA DA BOCAINA","ANGRA DOS REIS (RJ) - AREIAS (SP) - CUNHA (SP) - PARATY (RJ) - SÃO JOSÉ DO BARREIRO (SP) - UBATUBA (SP)",1623,463,402,252,93
"PARQUE NATURAL MUNICIPAL ""DOUTOR RUI CALAZANS DE ARAÚJO""","PARAIBUNA (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL AUGUSTO RUSCHI","SÃO JOSÉ DOS CAMPOS (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL BORORÉ","SÃO PAULO (SP)",56,38,38,35,27
"PARQUE NATURAL MUNICIPAL CABECEIRAS DO ARICANDUVA","SÃO PAULO (SP)",24,18,18,18,11
"PARQUE NATURAL MUNICIPAL CACHOEIRA DA MARTA","BOTUCATU (SP)",8,7,7,6,5
"PARQUE NATURAL MUNICIPAL CORREDORES DE BIODIVERSIDADE","SOROCABA (SP)",32,17,12,15,14
"PARQUE NATURAL MUNICIPAL COTIA-PARÁ","CUBATÃO (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DA CRATERA DE COLÔNIA","SÃO PAULO (SP)",91,57,57,47,32
"PARQUE NATURAL MUNICIPAL DA CULTURA NEGRA - SÍTIO DA CANDINHA","GUARULHOS (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DA GROTA DE MIRASSOL","MIRASSOL (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DE BRIGADEIRO TOBIAS","SOROCABA (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DE SÃO ROQUE","SÃO ROQUE (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DO BANHADO","SÃO JOSÉ DOS CAMPOS (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DO BASALTO","ARARAQUARA (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DO CAMPO GRANDE","CAMPINAS (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DO CERRADO","SÃO JOSÉ DOS CAMPOS (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DO DISTRITO DE SANTA TEREZINHA","PIRACICABA (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DO DOURADO","PIRAJU (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DO JUQUERIQUERÊ","CARAGUATATUBA (SP)",0,0,0,0,0
"PARQUE NATURAL MUNICIPAL DO PEDROSO","SANTO ANDRÉ (SP)",1,1,1,1,1
"PARQUE NATURAL MUNICIPAL DO TRABIJU","PINDAMONHANGABA (SP)",183,61,41,52,36
